date,open,high,low,close,volume
2022-04-20,85.5514,86.0668,84.8998,85.5417,21274314
2022-04-21,86.5044,87.3311,84.4038,84.6372,29831018
2022-04-22,84.2773,85.6972,82.663,82.7894,24258557
2022-04-25,80.1053,80.3825,77.1099,79.9984,38764023
2022-04-26,80.4555,82.3907,79.9205,80.0276,29759685
2022-04-27,81.0973,83.1249,80.0178,82.313,33699543
2022-04-28,82.5464,85.7119,81.7586,84.8025,34636024
2022-04-29,85.7168,85.7168,82.3713,82.9062,35636227
2022-05-02,82.6728,84.6421,82.3032,84.0343,37362427
2022-05-03,83.8885,86.3391,83.7523,85.7654,34866704
2022-05-04,87.0393,89.3539,86.4655,89.1788,47494148
2022-05-05,89.5095,89.5192,85.9599,87.8271,42172897
2022-05-06,88.4786,89.2906,86.8934,89.1691,30456709
2022-05-09,86.981,87.0976,81.71,82.1379,47147886
2022-05-10,83.2855,84.5011,81.2189,82.6825,35458076
2022-05-11,84.0537,86.4947,83.9079,84.4038,33954147
2022-05-12,84.4431,84.8656,81.9379,84.787,30017790
2022-05-13,85.8285,87.3856,84.8312,87.3021,26258809
2022-05-16,87.4495,90.3625,87.4102,89.3555,26566985
2022-05-17,90.1218,90.8292,89.5225,90.4951,23533245
2022-05-18,90.8881,91.291,88.2551,89.0607,25905413
2022-05-19,87.4397,90.6818,87.4397,89.5422,24822554
2022-05-20,90.3183,91.9492,88.8151,90.2496,29308870
2022-05-23,91.0355,93.1086,90.9274,92.2439,27725412
2022-05-24,91.1927,93.1282,90.7014,92.745,24726834
2022-05-25,92.9219,94.8376,92.8137,94.6117,30482258
2022-05-26,94.9064,95.7219,94.5153,94.9458,24748720
2022-05-27,94.2629,96.2131,93.6293,95.879,26045419
2022-05-31,96.8321,98.0258,94.0272,94.3169,45689144
2022-06-01,95.3191,96.9818,94.9261,96.1247,26276033
2022-06-02,95.5843,96.3801,95.0931,95.9576,19429744
2022-06-03,96.1836,97.9128,96.1836,97.3528,21413584
2022-06-06,97.4412,98.0306,96.9401,97.1072,21051115
2022-06-07,97.9521,101.617,97.7457,101.557,38484946
2022-06-08,101.675,103.719,101.175,102.757,32177283
2022-06-09,101.607,102.737,100.369,100.536,27109617
2022-06-10,100.153,101.538,98.0405,98.6988,31510791
2022-06-13,95.8103,96.0559,92.2734,94.1696,34017438
2022-06-14,95.7022,96.9401,93.5999,94.4152,31821921
2022-06-15,94.3071,94.8769,91.6348,93.2264,30149354
2022-06-16,90.7899,91.4972,88.6973,89.7878,36333746
2022-06-17,89.3653,89.7485,84.1533,84.6102,65763142
2022-06-21,87.027,90.9078,86.9681,89.8762,36593001
2022-06-22,86.0052,88.1864,85.9954,86.3196,30300857
2022-06-23,87.1056,87.4888,82.0557,83.7161,36395286
2022-06-24,85.4256,86.8501,84.3056,85.3765,27114356
2022-06-27,86.2705,88.4615,86.133,87.4692,25933343
2022-06-28,89.5225,91.6054,88.766,89.8958,33714070
2022-06-29,91.3499,91.5661,86.2165,86.575,25854210
2022-06-30,84.6298,86.0642,83.1855,84.1386,40660928
2022-07-01,85.2193,86.3393,83.2249,86.0151,26797670
2022-07-05,84.8263,85.18,81.5547,83.3231,35218776
2022-07-06,82.2915,83.7358,79.5898,81.8199,33971306
2022-07-07,83.8831,85.2389,83.8046,84.4333,24242377
2022-07-08,85.4256,85.7694,83.441,84.5709,17989203
2022-07-11,83.6768,84.6102,82.8811,84.1386,15886874
2022-07-12,82.3112,83.5589,81.4074,83.0186,21387985
2022-07-13,81.9182,84.7993,81.8396,83.3526,20284222
2022-07-14,80.415,81.8494,79.2753,81.6824,26813115
2022-07-15,83.3133,83.3919,81.4466,83.0579,17551459
2022-07-18,85.0621,86.397,84.2466,84.5905,19741923
2022-07-19,84.9,86.9681,84.7378,86.7225,18574549
2022-07-20,86.0445,88.0782,85.7203,87.6755,16880358
2022-07-21,85.406,86.2607,83.7161,86.2116,21757109
2022-07-22,86.0151,86.919,85.1112,85.5534,15755702
2022-07-25,86.6144,88.5499,85.8874,88.4024,17849302
2022-07-26,89.5323,89.6797,87.4397,88.0586,15411385
2022-07-27,88.6973,90.3871,87.8326,89.9646,18368999
2022-07-28,90.5639,91.6152,89.4144,91.0158,20716282
2022-07-29,92.7941,95.8053,92.4503,95.2307,30358062
2022-08-01,93.1282,93.6784,91.5955,92.8235,21164200
2022-08-02,93.0299,93.531,92.1752,92.4208,17020912
2022-08-03,92.7646,92.7646,89.1983,89.4242,24001607
2022-08-04,88.7267,88.7562,84.9147,85.6614,32389312
2022-08-05,84.846,88.1175,84.7673,86.8993,17718673
2022-08-08,87.0565,88.0291,86.6734,87.3906,14725308
2022-08-09,88.4713,90.0039,88.373,89.0018,19423965
2022-08-10,89.0902,90.1808,87.6214,89.8467,18628589
2022-08-11,91.1066,93.5469,90.7089,92.4458,18949194
2022-08-12,91.7415,93.2692,91.3744,93.2493,15179439
2022-08-15,89.807,91.9895,88.944,91.5827,20922315
2022-08-16,91.2951,92.1482,90.561,90.7296,14151224
2022-08-17,90.5411,92.4656,90.1939,91.4637,13788157
2022-08-18,92.4061,94.5489,92.3466,93.6263,17913421
2022-08-19,93.408,94.4397,93.0509,93.3287,16258396
2022-08-22,92.674,93.7343,91.1264,93.2592,16148892
2022-08-23,94.7869,97.6241,94.6877,97.2174,23956050
2022-08-24,97.2273,98.1747,96.5825,97.7927,17187566
2022-08-25,98.13,99.0625,97.3169,98.2987,15428944
2022-08-26,97.9812,99.1121,96.642,97.0884,15656399
2022-08-29,97.3959,100.744,97.3563,99.3204,23244846
2022-08-30,97.5745,97.8324,95.0548,95.5409,17224391
2022-08-31,93.2791,96.0666,92.8426,94.8266,18488533
2022-09-01,93.666,94.3058,91.5531,93.1204,16555196
2022-09-02,95.5806,96.017,94.3505,94.8266,18353376
2022-09-06,95.3921,95.8186,93.7552,94.1917,19356109
2022-09-07,92.4458,93.8365,91.5629,93.3882,16405672
2022-09-08,93.904,94.658,92.9716,94.1521,18910224
2022-09-09,95.7492,96.2254,94.5588,95.7294,17299592
2022-09-12,96.8702,98.3979,96.1028,96.8305,16248704
2022-09-13,95.8385,96.9991,94.1521,94.5687,18375873
2022-09-14,95.4218,97.7729,95.3822,96.89,22838066
2022-09-15,95.4516,95.769,93.2989,94.0727,21262069
2022-09-16,94.3108,94.5786,91.2653,92.4656,38179606
2022-09-19,90.2832,92.7434,90.2733,92.4557,15465618
2022-09-20,91.9895,92.1829,90.9082,91.7018,14830957
2022-09-21,92.8228,93.1303,90.1443,90.2237,17471949
2022-09-22,91.4637,91.92,89.7971,89.8467,16269317
2022-09-23,86.8012,86.8012,84.1724,85.0652,27962120
2022-09-26,84.222,85.5315,83.2201,83.3093,22220810
2022-09-27,84.9263,86.2606,84.1327,85.0553,17446621
